DISTRITO DE AVEIRO                    Concelho de ÁGUEDA
Aldeia dos Fernandes                                  NELSON PAULO MESTRE GUERREIRO                  PS

DISTRITO DE BEJA                    Concelho de ALVITO
                        Freguesia                                                Presidente                  Força política
Alvito                                                   HÁLIA MANUEL BRISSOS FEIO            PS
Vila Nova da Baronia                                     JOAQUIM ANTÓNIO RASGADINHO SANTOS    PS

DISTRITO DE BEJA                    Concelho de BARRANCOS
                        Freguesia                                                  Presidente                  Força política
Barrancos                                              IDÁLIA NOEL BALEIZÃO PICA                PCP-PEV

DISTRITO DE BEJA                      Concelho de BEJA
                          Freguesia                                                     Presidente                      Força política
Cabeça Gorda                                                DORA ALEXANDRA GUERREIRO JANUÁRIO MARQUES   PS
Beringel                                                    VITOR MANUEL RAMIRES MORAI BESUGO           PS
Nossa Senhora das Neves                                     JOSÉ LUIS CASIMIRO BRIGADEIRO               PCP-PEV
Santa Clara de Louredo                                      MIGUEL ÂNGELO AMARO DA MATA                 PS
São Matias                                                  ANTONIO MANUEL GÓIS GRADE                   PS
União das freguesias de Albernoa e Trindade                 PEDRO GABRIEL MESTRE JONAS                  PPD/PSD.IL.CDS-PP
União das freguesias de Beja (Salvador e Santa Maria da Feira)              LUIS FILIPE DE ASSUNÇÃO FIGUEIRA         PPD/PSD.CDS-PP.IL
União das freguesias de Beja (Santiago Maior e São João Baptista)        LUIS PEDRO GOMES CANO DARGENT               PPD/PSD.CDS-PP.IL
União das freguesias de Salvada e Quintos                   JOSE MANUEL PEREIRA DA SILVA                PCP-PEV
União das freguesias de Santa Vitória e Mombeja             SERGIO JOSÉ REBOLO BRAVO                    PS
União das freguesias de Trigaches e São Brissos             TANIA DE SOUSA RODRIGUES COSTA              PCP-PEV
Baleizão                                                    MARIA JOÃO PALMA BRISSOS                    PCP-PEV

DISTRITO DE BEJA                       Concelho de CASTRO VERDE
                           Freguesia                                              Presidente                                  Força política
União das freguesias de Castro Verde e Casével             ANTÓNIO JOSÉ DA LUZ PAULINO                         PS
Entradas                                                   ANA MARIA CAROLINA GUERREIRO                        PCP-PEV
Santa Bárbara de Padrões                                   SÓNIA MARIA DE MATOS SILVESTRE                      PCP-PEV
São Marcos da Ataboeira                                    SARA CRISTINA PARENTE CALDEIRA CARVALHO SATURNINO   PS

DISTRITO DE BEJA                    Concelho de CUBA
                        Freguesia                                             Presidente                        Força política
Vila Alva                                              JOSÉ ALBERTO LANÇA PACHECO                PCP-PEV
Faro do Alentejo                                       DIOGO JOSÉ DA SILVA MACHADO               PCP-PEV
Cuba                                                   MARIA JOÃO SOUDO CARDEIRA                 PCP-PEV
Vila Ruiva                                             VITAL ANTÓNIO DA CONCEIÇÃO NEVES RAPOSO   PS

DISTRITO DE BEJA                      Concelho de FERREIRA DO ALENTEJO
                          Freguesia                                                Presidente                  Força política
Odivelas                                                  MÓNICA CRISTINA LOPES PIEDADE         PS
Figueira dos Cavaleiros                                   JOSE MANUEL BALTAZAR DUARTE           PS
Alfundão                                                  FLÁVIO MARCELINO REVEZ                PS
Canhestros                                                ANTÓNIO MANUEL CARDADOR LANÇA         PS
Ferreira do Alentejo                                      SANDRA MANUELA GUERREIRO ALBINO       PCP-PEV
Peroguarda                                                RUI MIGUEL MONTES PEREIRA BOLINHAS    PS

DISTRITO DE BEJA                        Concelho de MÉRTOLA
                            Freguesia                                                Presidente                   Força política
Santana de Cambas                                             RUI MANUEL BARÃO COLAÇO              PS
São João dos Caldeireiros                                     JOSÉ FRANCISCO GOMES CANDEIAS        PCP-PEV
Mértola                                                       JOÃO JOSÉ SEVERO ARNEDO ROLHA        PS
Corte do Pinto                                                RICARDO JOSÉ MARTINS MOURA GODINHO   PS
Alcaria Ruiva                                                 JOAQUIM MANUEL HORTA PIRES           PS
União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros    FRANCISCO LAMPREIA BONITO MARQUES    PS
Espírito Santo                                                LUÍS MIGUEL DEODATO CAETANO          PS

DISTRITO DE BEJA                     Concelho de MOURA
                         Freguesia                                                 Presidente                  Força política
União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador  FRANCISCO MANUEL CANUDO SENA        PS
Safara                                                      HELENA DE FÁTIMA CAEIRO AMARO       PS
Sobral da Adiça                                             HÉLDER MANUEL TÚBAL RAPOSO          PCP-PEV
Póvoa de São Miguel                                         MANUEL ANTÓNIO PATINHO CORREIA      PS
Amareleja                                                   TIAGO ANTÓNIO LUCAS BATISTA         PCP-PEV
Santo Aleixo da Restauração                                 JOSÉ MANUEL DA PALMA MORAIS         PS

DISTRITO DE BEJA                     Concelho de ODEMIRA
                         Freguesia                              Presidente             Força política
São Teotónio                                              -                            -
Longueira/Almograve                                       -                            -
Vale de Santiago                                          -                            -
Bicos                                                     -                            -
São Salvador e Santa Maria                                -                            -
Santa Clara-a-Velha                                       -                            -
Sabóia                                                    -                            -
Luzianes-Gare                                             -                            -
Vila Nova de Milfontes                                    -                            -
São Martinho das Amoreiras                                -                            -
Relíquias                                                 -                            -
São Luís                                                  -                            -
Boavista dos Pinheiros                                    -                            -
Colos                                                     -                            -

DISTRITO DE BEJA                     Concelho de OURIQUE
                         Freguesia                                                  Presidente                  Força política
Santa Luzia                                                LEANDRO MIGUEL MESTRE DE OLIVEIRA     PS
Garvão                                                     JOAQUIM BRUNO NEVES ENCARNAÇÃO        PPD/PSD.CDS-PP
União das freguesias de Panoias e Conceição                NÁDIA SOFIA FÉLIX LIMA                PS
Ourique                                                    JORGE MANUEL MATEUS CANHESTRO         PS
Santana da Serra                                           JESUINO JOSÉ FERNANDES GUERREIRO      PS

DISTRITO DE BEJA                     Concelho de SERPA
                         Freguesia                                               Presidente                  Força política
Vale de Vargo                                            TERESA ARRABAÇO PIRES                PCP-PEV
Pias                                                     ANTÓNIO FERNANDO LIMPO MOITA         PCP-PEV
Vila Nova de São Bento                                   MANUEL LUÍS MACHADO NUNES            PCP-PEV
Vila Verde de Ficalho                                    MARIA RITA VALENTE PAULINO           PS
Brinches                                                 JOÃO PEDRO CARRASCO GATO             PCP-PEV
União das freguesias de Serpa (Salvador e Santa Maria)   IVO CORREIA GARCIAS                  PS

DISTRITO DE BEJA                    Concelho de VIDIGUEIRA
                        Freguesia                                                 Presidente                  Força política
Pedrógão                                                   -                                   -
Selmes                                                     -                                   -
Vidigueira                                                 CARLA ALEXANDRA BAGIO PENAS         PCP-PEV
Vila de Frades                                             -                                   -

DISTRITO DE BRAGA                     Concelho de AMARES
                          Freguesia                                                  Presidente                  Força política
Rendufe                                                    CONSTANTINO MANUEL VELOSO              PPD/PSD
União das freguesias de Caldelas, Sequeiros e Paranhos     PEDRO JOSÉ CARVALHO ARAÚJO             GCE (GRUPO DE CIDADÃOS ELEITORES)
União das freguesias de Ferreiros, Prozelo e Besteiros     JOÃO LUÍS DA SILVA ANDRADE             PPD/PSD
União das freguesias de Vilela, Seramil e Paredes Secas    RUI MANUEL ESTEVES PEREIRA             GCE (GRUPO DE CIDADÃOS ELEITORES)
União das freguesias de Amares e Figueiredo                RUBEN TIAGO SOARES AZEVEDO DA SILVA    PPD/PSD
Bouro (Santa Marta)                                        ELIZABETE SUSANA TEIXEIRA ANTUNES      GCE (GRUPO DE CIDADÃOS ELEITORES)
Bouro (Santa Maria)                                        PEDRO FILIPE DIAS ANTUNES              PS
Barreiros                                                  JOÃO CARLOS MARQUES GOMES DOS SANTOS   PPD/PSD
Lago                                                       MARIA FERNANDA FERREIRA ARAÚJO         GCE (GRUPO DE CIDADÃOS ELEITORES)
União das freguesias de Torre e Portela                    JOÃO MANUEL DA SILVA FERNANDES         GCE (GRUPO DE CIDADÃOS ELEITORES)
Bico                                                       VERA LÚCIA ALVES ARAÚJO                PPD/PSD
Caires                                                     DANIEL DA SILVA CUNHA                  GCE (GRUPO DE CIDADÃOS ELEITORES)
Carrazedo                                                  PAULO JORGE DE BARROS MATOS            PPD/PSD
Dornelas                                                   RENY MANUEL VILELA XAVIER              PS
Fiscal                                                     DUARTE NUNO DA CUNHA RIBEIRO           PPD/PSD
Goães                                                      JOSÉ ANTÓNIO PINTO DA COSTA            PPD/PSD

DISTRITO DE BRAGA                      Concelho de BARCELOS
                           Freguesia                                                      Presidente                  Força política
Galegos (São Martinho)                                        RICARDO BRUNO FERREIRA VASCONCELOS       PPD/PSD.CDS-PP
Vila Seca                                                     LILIANA CARINA BARREIRO FARIA            GCE (GRUPO DE CIDADÃOS ELEITORES)
União das freguesias de Campo e Tamel (São Pedro Fins)        LUÍS FILIPE CERDEIRA DA SILVA            PPD/PSD.CDS-PP
União das freguesias de Areias de Vilar e Encourados          DIOGO ANDRÉ BARBOSA FERNANDES            PPD/PSD.CDS-PP
União das freguesias de Alvito (São Pedro e São Martinho) e Couto   JOÃO VÍTOR SENRA COELHO                  PS
União das freguesias de Alheira e Igreja Nova                 JOSÉ MANUEL PEREIRA MARTINS              GCE (GRUPO DE CIDADÃOS ELEITORES)
União das freguesias de Carreira e Fonte Coberta              RUI MANUEL DE ARAÚJO SILVA               PPD/PSD.CDS-PP
Várzea                                                        -                        -
Ucha                                                          ANTÓNIO MANUEL FARIA DA COSTA            PS
União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral        MARGARIDA MARIA FIGUEIREDO FERREIRA      PPD/PSD.CDS-PP
Tamel (São Veríssimo)                                         TÂNIA CRISTINA MACEDO FERREIRA           PPD/PSD.CDS-PP
União das freguesias de Negreiros e Chavão                    MARIA ARMINDA SILVA CRUZ                 PPD/PSD.CDS-PP
Galegos (Santa Maria)                                         -                   -
Rio Covo (Santa Eugénia)                                      CARLOS MIGUEL DA SILVA DANTAS            PS
Roriz                                                         -                     -
Silva                                                         JOSÉ CARLOS MAGALHÃES VILAS BOAS         PPD/PSD.CDS-PP
União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte    MANUEL DA CONCEIÇÃO CARNEIRO MARTINS     PPD/PSD.CDS-PP
Remelhe                                                       -                    -
Vila Frescaínha (São Martinho)                                LUÍS MIGUEL SILVA PEREIRA                PPD/PSD.CDS-PP
Vila Boa                                                      NELSON HENRIQUE RODRIGUES FERRAZ         PPD/PSD.CDS-PP
Silveiros                                                     SÉRGIO PAULO MARTINS PEREIRA             PPD/PSD.CDS-PP

