DISTRITO DE AVEIRO                    Concelho de ÁGUEDA
Figueira de Lorvão                                          JOÃO PEDRO RODRIGUES ANTUNES                 PPD/PSD
Lorvão                                                      MÁRIO JOÃO ROSA DOS SANTOS ESCADA            PS
Penacova                                                    ALCINO DA SILVA FRANCISCO                    PS
Sazes do Lorvão                                             LUIS MANUEL SIMÕES PEREIRA                   PPD/PSD
União das freguesias de Friúmes e Paradela                  ELISABETE MARIA DE JESUS HENRIQUES MARCELO   PPD/PSD
União das freguesias de Oliveira do Mondego e Travanca do Mondego     MARIA CAROLINA ROJAIS CORDEIRO               PPD/PSD
União das freguesias de São Pedro de Alva e São Paio de Mondego     JAIME MIGUEL CORDEIRO BRITO                  PPD/PSD

DISTRITO DE COIMBRA                 Concelho de PENELA
                        Freguesia                                                Presidente                    Força política
Cumeeira                                                 JOÃO DUARTE MENDES                     PS
União das freguesias de São Miguel, Santa Eufémia e Rabaçal                PAULO ALEXANDRE DOS SANTOS MATIAS   PS
Podentes                                                 ANABELA CRISTINA PEREIRA DOS SANTOS    PPD/PSD
Espinhal                                                 LUIS OLIVEIRA HENRIQUES DIAS           PPD/PSD

DISTRITO DE COIMBRA                  Concelho de SOURE
                         Freguesia                                                Presidente                     Força política
Tapéus                                                   BRUNO FILIPE SALAZAR VICENTE             DESCONHECIDO
União das freguesias de Degracias e Pombalinho           PAULO MANUEL DOS SANTOS MENDES GOMES     PS
Vila Nova de Anços                                       JOSÉ MANUEL CARRACA DE OLIVEIRA GALVÃO   PS
União das freguesias de Gesteira e Brunhós               SÉRGIO MANUEL RIBEIRO DE ALMEIDA         NC
Soure                                                    ANDRÉ MIGUEL PEREIRA MORIM NETO          NC
Samuel                                                   SÉRGIO FILIPE DA COSTA MONTEIRO          NC
Granja do Ulmeiro                                        ANA SOFIA RODRIGUES CAMPIZES             PS
Figueiró do Campo                                        RUI MANUEL DA COSTA BAPTISTA             NC
Alfarelos                                                JORGE MANUEL GOMES SIMÕES                PS
Vinha da Rainha                                          EVARISTO MENDES DUARTE                   NC

DISTRITO DE COIMBRA                   Concelho de TÁBUA
                          Freguesia                                                 Presidente                  Força política
Tábua                                                      -                                                    -
União das freguesias de Espariz e Sinde                     FERNANDO MANUEL DE BRITO GAMEIRO     PS
União das freguesias de Pinheiro de Coja e Meda de Mouros   BRUNO GONÇALO GIL SANTOS             PS
União das freguesias de Covas e Vila Nova de Oliveirinha    DINA ISABEL MOREIRA SANTOS           PS
União das freguesias de Ázere e Covelo                      LUÍS CARLOS DA CUNHA RODRIGUES       PS
São João da Boa Vista                                       JOÃO VITOR MARQUES NUNES             DESCONHECIDO
Póvoa de Midões                                             JOSÉ ÂNGELO PIRES DE OLIVEIRA        PS
Mouronho                                                    ANÍBAL JOSÉ DE FIGUEIREDO MOTA       PS
Midões                                                     -                                                    -
Candosa                                                     ELSA MARIA SIMÕES FERREIRA GOUVEIA   PS
Carapinha                                                   JOSÉ ARMÉNIO BENIDO SANTOS           PS

DISTRITO DE COIMBRA                 Concelho de VILA NOVA DE POIARES
                        Freguesia                                                Presidente                    Força política
Lavegadas                                               LOIDE LILIANA SEQUEIRA FERREIRA         PS
Poiares (Santo André)                                   EDUARDO JOSÉ CARVALHO FERREIRA          DESCONHECIDO
São Miguel de Poiares                                   BÁRBARA CORREIA RODRIGUES               PS
Arrifana                                                ALBERTO MANUEL DA COSTA BARANDA DINIZ   PPD/PSD
